"gen","locus1","locus2","locus3","repl"
0,0.301724137931034,0.148148148148148,0.271356783919598,1
10,0.35593220338983,0.214285714285714,0.411764705882353,1
20,0.352201257861635,0.170731707317073,0.34965034965035,1
30,0.469879518072289,0.231707317073171,0.359550561797753,1
40,0.493150684931507,0.204724409448819,0.467741935483871,1
50,0.5,0.207792207792208,0.444444444444444,1
60,0.656934306569343,0.253086419753086,0.5,1
0,0.314606741573034,0.149321266968326,0.219047619047619,2
10,0.28099173553719,0.190909090909091,0.259259259259259,2
20,0.301587301587302,0.289473684210526,0.295774647887324,2
30,0.235955056179775,0.147727272727273,0.270588235294118,2
40,0.274336283185841,0.242990654205607,0.196078431372549,2
50,0.252747252747253,0.31578947368421,0.350649350649351,2
60,0.361904761904762,0.25,0.316831683168317,2
0,0.340579710144928,0.156363636363636,0.28030303030303,3
10,0.471428571428571,0.152941176470588,0.380952380952381,3
20,0.33112582781457,0.248407643312102,0.330935251798561,3
30,0.564705882352941,0.353846153846154,0.478260869565217,3
40,0.687116564417178,0.443786982248521,0.395061728395062,3
50,0.762376237623762,0.533333333333333,0.552083333333333,3
60,0.8,0.552083333333333,0.582278481012658,3
0,0.256544502617801,0.205741626794258,0.271794871794872,4
10,0.186440677966102,0.223076923076923,0.267241379310345,4
20,0.382113821138211,0.274193548387097,0.390625,4
30,0.2,0.10958904109589,0.238095238095238,4
40,0.247619047619048,0.266666666666667,0.384615384615385,4
50,0.363636363636364,0.366666666666667,0.5,4
60,0.461538461538462,0.395348837209302,0.577464788732394,4
0,0.26791277258567,0.149051490514905,0.256983240223464,5
10,0.310810810810811,0.14375,0.174242424242424,5
20,0.428571428571429,0.0604026845637584,0.12,5
30,0.43859649122807,0.0769230769230769,0.238095238095238,5
40,0.473684210526316,0.0625,0.0462962962962963,5
50,0.666666666666667,0.0350877192982456,0.0775193798449612,5
60,0.640776699029126,0.058252427184466,0.180952380952381,5
0,0.29004329004329,0.165919282511211,0.254807692307692,6
10,0.285714285714286,0.170731707317073,0.298076923076923,6
20,0.348958333333333,0.174157303370787,0.192307692307692,6
30,0.327272727272727,0.235294117647059,0.229166666666667,6
40,0.528735632183908,0.13953488372093,0.12987012987013,6
50,0.52212389380531,0.0882352941176471,0.125,6
60,0.693069306930693,0.161290322580645,0.121951219512195,6
0,0.297435897435897,0.0844444444444444,0.224669603524229,7
10,0.339869281045752,0.150442477876106,0.326388888888889,7
20,0.481751824817518,0.236641221374046,0.343283582089552,7
30,0.557522123893805,0.380952380952381,0.570175438596491,7
40,0.467889908256881,0.471074380165289,0.61,7
50,0.566265060240964,0.386138613861386,0.673469387755102,7
60,0.605839416058394,0.463636363636364,0.692307692307692,7
0,0.310880829015544,0.17741935483871,0.232227488151659,8
10,0.310924369747899,0.108108108108108,0.26530612244898,8
20,0.213740458015267,0.184873949579832,0.248,8
30,0.349137931034483,0.262222222222222,0.227272727272727,8
40,0.233644859813084,0.4125,0.265957446808511,8
50,0.277227722772277,0.346456692913386,0.208695652173913,8
60,0.353535353535354,0.257142857142857,0.255813953488372,8
0,0.259818731117825,0.110738255033557,0.276527331189711,9
10,0.276119402985075,0.136645962732919,0.297297297297297,9
20,0.289473684210526,0.0941176470588235,0.0941176470588235,9
30,0.306010928961749,0.207317073170732,0.254237288135593,9
40,0.428571428571429,0.228571428571429,0.338461538461538,9
50,0.435483870967742,0.256544502617801,0.381578947368421,9
60,0.253424657534247,0.284722222222222,0.377952755905512,9
0,0.296703296703297,0.123152709359606,0.21978021978022,10
10,0.377777777777778,0.181818181818182,0.290322580645161,10
20,0.552631578947368,0.166666666666667,0.558823529411765,10
30,0.618604651162791,0.402912621359223,0.514705882352941,10
40,0.546153846153846,0.357664233576642,0.401459854014599,10
50,0.623287671232877,0.492307692307692,0.547445255474453,10
60,0.605839416058394,0.358620689655172,0.55944055944056,10
